hozyaistvo,klyuch,region,rejon,vinogorje,gorod,rejon_istochnik,rejon_raznoglasie,raion_knigi,raion_istochnik,gde,vinograd_v_serbii,v_knige,imena,vivino_slug,falstaff_zvezd,vin_v_dannyh
117 Wine,117,Vojvodina,Rejon Bačka,,,vivino,,,ne_ustanovlen,,True,False,['117 Wine'],,,1
45. Paralela,45-paralela,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,,,ne_ustanovlen,"Sremski Karlovci, Južno-bački okrug",True,False,['45. Paralela'],,,4
AE projekt centar,ae-projekt-centar,Vojvodina,Subotički rejon,Riđičko vinogorje,Sombor,decanter,,,ne_ustanovlen,"Sombor, Zapadnobački okrug",True,False,['AE projekt centar'],,,0
AURUS Winery & Distillery,aurus-distillery,,,,,ne_ustanovlen,,,ne_ustanovlen,,False,False,['AURUS Winery & Distillery'],,,0
Adora,adora,Centralna Srbija,Rejon Tri Morave,Jagodinsko vinogorje,Jagodina,mesto,,,ne_ustanovlen,"Jagodina, Pomoravski okrug",True,False,['Adora'],,,8
Agrina,agrina,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Irig,mesto,,,ne_ustanovlen,"Irig, Sremski okrug",True,False,['Agrina'],,,1
Alaska Barka,alaska-barka,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Alaska Barka'],,,1
Alchemy Winery,alchemy,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,vivino,,,ne_ustanovlen,,True,False,['Alchemy Winery'],,,1
Aleksandar Todorović,aleksandar-todorovic,Centralna Srbija,Rejon Tri Morave,,,vivino,,,ne_ustanovlen,,True,False,"['Aleksandar Todorović', 'Aleksandar Todorovic']",,,12
Aleksandrović,aleksandrovic,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Vinča,mesto,,sumadija,kniga,"Vinča, Topola - Oplenac, Šumadijski okrug",True,True,"['Aleksandrović', 'Podrum Aleksandrovic D.o.o.', 'Vinarija  Aleksandrović', 'Vinarija Aleksandrovic', 'Vinarija Aleksandrović', 'Aleksandrovic Winery', 'Podrum Aleksandrovic', 'Winery Aleksandrovic', 'Aleksandrovic', 'Aleksandrovič']",,,39
Aleksić,aleksic,Centralna Srbija,Vranjski rejon,Vrtogoško vinogorje,Vranje,mesto,"по месту Vranjski rejon, у источников Vranjski rejon ×53; Nišavski rejon ×4; Niški rejon ×1",jugoistok,kniga,"Vranje, Pčinjski okrug",True,True,"['Aleksić', 'Podrum Vina Aleksić', 'Winery Aleksić Doo', 'Vinarija Aleksic', 'Aleksic Winery', 'Aleksic winery', 'Winery Aleksic', 'Winery Aleksić', 'Aleksic']",,,20
Amstadt Winery,amstadt,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Amstadt Winery'],,,1
