klyuch,hozyaistvo,vino,vivino_id,vivino_adres,vivino_status,etiketok,v_knige,est_u_kritikov,rejon,vinogorje,rejon_istochnik,cvet
117-sauvignin-blanc,117 Wine,Sauvignin Blanc,12991616,https://www.vivino.com/w/12991616,malo_ocenok,2,False,False,Rejon Bačka,,hozyaistvo,белое
45-paralela-d-chardonnay-45-paralela,45. Paralela,D Chardonnay 45. Paralela,10227285,https://www.vivino.com/w/10227285,malo_ocenok,5,False,False,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,белое
45-paralela-n-duo-45-paralela,45. Paralela,N Duo 45. Paralela,6312652,https://www.vivino.com/w/6312652,malo_ocenok,23,False,False,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,красное
45-paralela-r-trio-45-paralela,45. Paralela,R Trio 45 Paralela,7201078,https://www.vivino.com/w/7201078,malo_ocenok,8,False,False,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,белое
45-paralela-z-rose-45-paralela,45. Paralela,Ž Rosé 45. Paralela,5837192,https://www.vivino.com/w/5837192,malo_ocenok,22,False,False,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,розе
ae-projekt-centar-carski-drum-chardonnay,AE projekt centar,Carski Drum Chardonnay,,,net_na_vivino,,False,True,Subotički rejon,Riđičko vinogorje,konkurs,белое
aurus-distillery-cabernet,AURUS Winery & Distillery,Cabernet,,,net_na_vivino,,False,True,,,,
aurus-distillery-chardonnay,AURUS Winery & Distillery,Chardonnay,,,net_na_vivino,,False,True,,,,
aurus-distillery-merlot,AURUS Winery & Distillery,Merlot,,,net_na_vivino,,False,True,,,,
aurus-distillery-red-cuvee-veritas,AURUS Winery & Distillery,Red Cuvée Veritas,,,net_na_vivino,,False,True,,,,
aurus-distillery-tamjanika,AURUS Winery & Distillery,Tamjanika,,,net_na_vivino,,False,True,,,,
adora-belo-vino,Adora,Belo Vino,7903020,https://www.vivino.com/w/7903020,malo_ocenok,7,False,False,Rejon Tri Morave,Jagodinsko vinogorje,hozyaistvo,белое
adora-cabernet-sauvignon,Adora,Cabernet Sauvignon,6866969,https://www.vivino.com/w/6866969,malo_ocenok,59,False,True,Rejon Tri Morave,Jagodinsko vinogorje,konkurs,красное
adora-chardonnay,Adora,Chardonnay,12683042,https://www.vivino.com/w/12683042,malo_ocenok,1,False,False,Rejon Tri Morave,Jagodinsko vinogorje,hozyaistvo,белое
adora-crveno-vino-srbija,Adora,Crveno Vino Srbija,3104196,https://www.vivino.com/w/3104196,malo_ocenok,165,False,False,Rejon Tri Morave,Jagodinsko vinogorje,hozyaistvo,красное
adora-merlot-cabernet,Adora,Merlot - Cabernet,7648679,https://www.vivino.com/w/7648679,ocenka_est,155,False,False,Rejon Tri Morave,Jagodinsko vinogorje,hozyaistvo,красное
adora-rose,Adora,Rosé,8028846,https://www.vivino.com/w/8028846,malo_ocenok,83,False,False,Rejon Tri Morave,Jagodinsko vinogorje,hozyaistvo,розе
adora-shiraz-grenache,Adora,Shiraz - Grenache,11108820,https://www.vivino.com/w/11108820,malo_ocenok,23,False,False,Rejon Tri Morave,Jagodinsko vinogorje,hozyaistvo,красное
adora-edition,Adora,Édition,9793254,https://www.vivino.com/w/9793254,malo_ocenok,119,False,False,Rejon Tri Morave,Jagodinsko vinogorje,hozyaistvo,красное
agrina-portuguiser,Agrina,Portuguiser,1556005,https://www.vivino.com/w/1556005,ocenka_est,885,False,False,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,красное
alaska-barka-rose,Alaska Barka,Rosé,3953438,https://www.vivino.com/w/3953438,malo_ocenok,13,False,False,,,,розе
alchemy-merlot,Alchemy Winery,Merlot,12113050,https://www.vivino.com/w/12113050,malo_ocenok,37,False,False,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,красное
aleksandar-todorovic-333,Aleksandar Todorović,333,9437104,https://www.vivino.com/w/9437104,ocenka_est,269,False,False,Rejon Tri Morave,,hozyaistvo,белое
aleksandar-todorovic-doodle-red,Aleksandar Todorović,Doodle Red,13763914,https://www.vivino.com/w/13763914,malo_ocenok,21,False,False,Rejon Tri Morave,,hozyaistvo,красное
aleksandar-todorovic-doodle-roze,Aleksandar Todorović,Doodle Roze,12715302,https://www.vivino.com/w/12715302,ocenka_est,29,False,False,Rejon Tri Morave,,hozyaistvo,розе
aleksandar-todorovic-doodle-white,Aleksandar Todorović,Doodle White,10847691,https://www.vivino.com/w/10847691,ocenka_est,201,False,False,Rejon Tri Morave,,hozyaistvo,белое
aleksandar-todorovic-ibis-beli,Aleksandar Todorović,Ibis Beli,10811395,https://www.vivino.com/w/10811395,malo_ocenok,39,False,False,Rejon Tri Morave,,hozyaistvo,белое
aleksandar-todorovic-ibis-crveni,Aleksandar Todorović,Ibis Crveni,8873158,https://www.vivino.com/w/8873158,ocenka_est,93,False,False,Rejon Tri Morave,,hozyaistvo,красное
aleksandar-todorovic-prokupac,Aleksandar Todorović,Prokupac,11424107,https://www.vivino.com/w/11424107,malo_ocenok,33,False,False,Rejon Tri Morave,,hozyaistvo,красное
aleksandar-todorovic-tamjanika,Aleksandar Todorović,Tamjanika,12715292,https://www.vivino.com/w/12715292,malo_ocenok,1,False,False,Rejon Tri Morave,,hozyaistvo,белое
aleksandar-todorovic-zero,Aleksandar Todorović,Zero,10502076,https://www.vivino.com/w/10502076,malo_ocenok,17,False,False,Rejon Tri Morave,,hozyaistvo,красное
aleksandar-todorovic-carolija,Aleksandar Todorović,Čarolija,12340319,https://www.vivino.com/w/12340319,ocenka_est,60,False,False,Rejon Tri Morave,,hozyaistvo,белое
aleksandar-todorovic-zupljanka,Aleksandar Todorović,Župljanka,9213642,https://www.vivino.com/w/9213642,ocenka_est,91,False,False,Rejon Tri Morave,,hozyaistvo,белое
aleksandrovic-chardonnay,Aleksandrović,Chardonnay,13195316,https://www.vivino.com/w/13195316,malo_ocenok,1,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksandrovic-chardonnay-extra,Aleksandrović,Chardonnay Extra,5315055,https://www.vivino.com/w/5315055,ocenka_est,243,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,игристое
aleksandrovic-euforija,Aleksandrović,Euforija,1270944,https://www.vivino.com/w/1270944,ocenka_est,783,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,розе
aleksandrovic-finesa-rose,Aleksandrović,Finesa Rosé,4572327,https://www.vivino.com/w/4572327,ocenka_est,141,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,розе
